,area,id,region,title,lat,lot,full_adress,population_2010,man_2010,female_2010
114,Бай-Тайгинский район,1157058,Тыва ,Хемчик,"51,4780789","91,4175591","Хемчик, Дзун-Хемчикский кожуун, Республика Тыва, Сибирский федеральный округ, 668040, Россия",800,378,422
115,Чеди-Хольский район,1875,Тыва ,Хову-Аксы,"51,131943","93,715744","Хову-Аксы, Чеди-Хольский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",3672,1641,2031
116,Чеди-Хольский район,1157209,Тыва ,Холчук,"51,0748276","93,2771986","Холчук, Чеди-Хольский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",209,109,100
117,Тес-Хемский район,1157178,Тыва ,Холь-Оожу,"50,7394457","94,4130714","Холь-Оожу, Тес-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
118,Барун-Хемчикский район,1157069,Тыва ,Хонделен,"51,2528323","90,3056838","Хонделен, Барун-Хемчикский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",559,274,285
119,Дзун-Хемчикский район,1157079,Тыва ,Хондергей,"51,1280656","91,6193587","Хондергей, Дзун-Хемчикский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",916,467,449
120,Дзун-Хемчикский район,1157080,Тыва ,Хорум-Даг,"51,2823568","91,0480747","Хорум-Даг, Дзун-Хемчикский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",447,220,227
121,Пий-Хемский район,1157144,Тыва ,Хут,"52,4478129","94,7403323","Хут, Пий-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
122,Кызылский район,1157115,Тыва ,Целинное,"51,3288301","94,8057351","Целинное, Кызылский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1280,577,703
123,Овюрский район,1157129,Тыва ,Чаа-Суур,"50,8233451","92,7598487","Чаа-Суур, Овюрский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",620,284,336
124,Чаа-Хольский район,1157203,Тыва ,Чаа-Холь,"51,5141315","92,3348586","Чаа-Холь, Чаа-Хольский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",3250,1550,1700
125,Дзун-Хемчикский район,1157081,Тыва ,Чадан,"51,286018","91,582817","Чадан, Дзун-Хемчикский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",9214,4291,4923
126,Тоджинский район,1157186,Тыва ,Чазылары,"52,7542023","97,4257898","Чазылары, Тоджинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",137,76,61
127,Чеди-Хольский район,1157210,Тыва ,Чал-Кежиг,"51,2966733","93,9343032","Чал-Кежиг, Чеди-Хольский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",308,170,138
128,Кызылский район,1157116,Тыва ,Черби,"51,888064","94,5928084","Черби, Кызылский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1127,561,566
129,Пий-Хемский район,1157145,Тыва ,Чкаловка,"52,0275263","93,5070574","Чкаловка, Аржаанский сумон, Пий-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
